img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[-0.15, 0.3]",0,0,0,2,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
31,"[-0.3, 0]",0,1,1,6,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
13,"[0.15, 0.3]",0,2,2,4,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
34,"[-0.15, -0.3]",0,3,3,9,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
14,"[0.15, -0.3]",0,4,4,5,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
33,"[-0.15, 0.3]",0,5,5,8,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
11,"[-0.3, 0]",0,6,6,0,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
32,"[0.3, 0]",0,7,7,7,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
12,"[0.3, 0]",0,8,8,1,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
13,"[-0.15, -0.3]",0,9,9,3,,,,,,,,,,,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
14,"[0.15, -0.3]",,,,,0,0,0,11,,,,,lalt,1.144221556634875,,,I_V_DominikaD,001,2019_May_20_1207,with_training,3.0.7,59.94893232600368,
