img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
31,"[-0.3, 0]",0,0,0,6,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
32,"[0.3, 0]",0,1,1,7,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
12,"[-0.15, 0.3]",0,2,2,2,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[-0.15, -0.3]",0,3,3,3,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[0.15, 0.3]",0,4,4,4,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[0.15, -0.3]",0,5,5,5,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.15, 0.3]",0,6,6,8,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
11,"[-0.3, 0]",0,7,7,0,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
12,"[0.3, 0]",0,8,8,1,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[-0.15, -0.3]",0,9,9,9,,,,,,,,,,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[0.15, -0.3]",,,,,0,0,0,41,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[0.15, -0.3]",,,,,0,1,1,47,,,,,ralt,1.5615125386684667,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.15, 0.3]",,,,,0,2,2,38,,,,,lalt,1.1304152272932697,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
24,"[-0.15, -0.3]",,,,,0,3,3,21,,,,,lalt,1.1236360431066714,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
23,"[0.15, -0.3]",,,,,0,4,4,17,,,,,ralt,1.31173561362084,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[0.15, 0.3]",,,,,0,5,5,28,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
23,"[0.3, 0]",,,,,0,6,6,13,,,,,lalt,0.8184785745397676,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[-0.15, -0.3]",,,,,0,7,7,45,,,,,lalt,1.5402162770624273,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[0.15, -0.3]",,,,,0,8,8,11,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.3, 0]",,,,,0,9,9,24,,,,,lalt,1.440933739184402,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[-0.3, 0]",,,,,0,10,10,0,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[0.15, 0.3]",,,,,0,11,11,40,,,,,lalt,1.513164742209483,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[-0.15, -0.3]",,,,,0,12,12,33,,,,,ralt,1.515288633032469,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[0.15, 0.3]",,,,,0,13,13,4,,,,,lalt,1.6381283680093475,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[-0.3, 0]",,,,,0,14,14,6,,,,,lalt,1.390488615637878,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.3, 0]",,,,,0,15,15,36,,,,,ralt,1.366557111410657,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
23,"[-0.3, 0]",,,,,0,16,16,12,,,,,lalt,1.2568688367900904,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[0.3, 0]",,,,,0,17,17,25,,,,,lalt,1.6093616615398787,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
24,"[0.15, -0.3]",,,,,0,18,18,23,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
24,"[-0.15, 0.3]",,,,,0,19,19,20,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[0.3, 0]",,,,,0,20,20,31,,,,,ralt,1.3444216774369124,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[-0.15, 0.3]",,,,,0,21,21,2,,,,,ralt,0.9573990246281028,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
23,"[-0.15, -0.3]",,,,,0,22,22,15,,,,,lalt,1.3805900045263115,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[0.3, 0]",,,,,0,23,23,37,,,,,ralt,1.0910049178928602,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.15, -0.3]",,,,,0,24,24,27,,,,,ralt,1.2004541190108284,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[-0.15, -0.3]",,,,,0,25,25,9,,,,,lalt,0.9434597082436085,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[0.3, 0]",,,,,0,26,26,7,,,,,lalt,1.1093864140857477,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[0.15, 0.3]",,,,,0,27,27,10,,,,,ralt,1.008007756609004,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
14,"[-0.15, 0.3]",,,,,0,28,28,8,,,,,lalt,0.8702198872924782,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
23,"[0.15, 0.3]",,,,,0,29,29,16,,,,,lalt,1.025376208795933,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.15, 0.3]",,,,,0,30,30,26,,,,,lalt,1.655117683345452,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[0.15, -0.3]",,,,,0,31,31,29,,,,,ralt,1.1103698757651728,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[-0.15, 0.3]",,,,,0,32,32,44,,,,,None,,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[0.15, -0.3]",,,,,0,33,33,5,,,,,lalt,1.1996578108810354,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[-0.15, 0.3]",,,,,0,34,34,32,,,,,ralt,1.2785231050220318,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
23,"[-0.15, 0.3]",,,,,0,35,35,14,,,,,lalt,0.991820182884112,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
13,"[-0.15, -0.3]",,,,,0,36,36,3,,,,,lalt,0.8801396285998635,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
34,"[0.15, -0.3]",,,,,0,37,37,35,,,,,ralt,1.2461576171044726,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
33,"[-0.15, -0.3]",,,,,0,38,38,39,,,,,ralt,1.2361056608497165,,,I_V_JakubK,001,2019_May_22_1059,with_training,3.0.7,None,
