img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[0.3, 0]",0,0,0,1,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
34,"[-0.15, -0.3]",0,1,1,9,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
14,"[0.15, -0.3]",0,2,2,5,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[-0.15, 0.3]",0,3,3,8,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
13,"[-0.15, -0.3]",0,4,4,3,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
13,"[0.15, 0.3]",0,5,5,4,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
32,"[0.3, 0]",0,6,6,7,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
11,"[-0.3, 0]",0,7,7,0,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
31,"[-0.3, 0]",0,8,8,6,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
12,"[-0.15, 0.3]",0,9,9,2,,,,,,,,,,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
23,"[-0.15, -0.3]",,,,,0,0,0,15,,,,,lalt,0.9774160999950254,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[0.15, 0.3]",,,,,0,1,1,40,,,,,None,,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
34,"[-0.15, 0.3]",,,,,0,2,2,44,,,,,ralt,1.4980330999969738,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[-0.15, -0.3]",,,,,0,3,3,39,,,,,ralt,1.115222399996128,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
24,"[0.3, 0]",,,,,0,4,4,19,,,,,lalt,1.088708700001007,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
14,"[0.15, -0.3]",,,,,0,5,5,11,,,,,lalt,0.8357013999993796,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
14,"[0.3, 0]",,,,,0,6,6,7,,,,,lalt,1.4153583999941475,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
23,"[-0.15, 0.3]",,,,,0,7,7,14,,,,,ralt,1.6971950000006473,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
13,"[-0.15, 0.3]",,,,,0,8,8,2,,,,,lalt,0.8997912000049837,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
14,"[-0.15, -0.3]",,,,,0,9,9,9,,,,,lalt,1.0958296000026166,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
23,"[-0.3, 0]",,,,,0,10,10,12,,,,,lalt,0.6624298999959137,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
34,"[0.15, 0.3]",,,,,0,11,11,46,,,,,ralt,0.937617900002806,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[-0.15, -0.3]",,,,,0,12,12,27,,,,,ralt,1.2821374999984982,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[-0.3, 0]",,,,,0,13,13,24,,,,,ralt,0.9124244000049657,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
34,"[-0.3, 0]",,,,,0,14,14,42,,,,,ralt,0.8204056000031414,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
13,"[0.15, 0.3]",,,,,0,15,15,4,,,,,lalt,1.2208600000012666,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
34,"[-0.3, 0]",,,,,0,16,16,30,,,,,ralt,1.5349348000017926,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
24,"[-0.15, 0.3]",,,,,0,17,17,20,,,,,lalt,0.8177830999993603,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
34,"[0.15, 0.3]",,,,,0,18,18,34,,,,,ralt,0.8970860999979777,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
14,"[-0.3, 0]",,,,,0,19,19,6,,,,,lalt,0.7016155000019353,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
23,"[0.15, -0.3]",,,,,0,20,20,17,,,,,lalt,0.8313953999968362,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[-0.15, 0.3]",,,,,0,21,21,26,,,,,ralt,0.7911994000023697,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
24,"[-0.3, 0]",,,,,0,22,22,18,,,,,lalt,0.6077734999998938,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
33,"[0.15, -0.3]",,,,,0,23,23,29,,,,,ralt,0.7665574999991804,,,I-V-VictoriaW,001,2019_May_23_1113,with_training,3.0.7,60.15895198430573,
